ID_LEXEMA 	LiNEA 	COLUMNA 	TOKEN                	LEXEMA
-------------------------------------------------------------------------------
1         	1     	3       	FLOAT                	float
2         	1     	8       	SEPARATOR            	~
3         	1     	9       	ID                   	func1
4         	1     	15      	LPAR                 	<|
5         	1     	18      	CHAR                 	char
2         	1     	22      	SEPARATOR            	~
6         	1     	23      	ID                   	x22
7         	1     	26      	COMMA                	,
5         	1     	27      	CHAR                 	char
2         	1     	31      	SEPARATOR            	~
8         	1     	32      	ID                   	x23
9         	1     	36      	RPAR                 	|>
10        	1     	40      	LBLOCK               	|:
11        	2     	2       	STRING               	string
2         	2     	8       	SEPARATOR            	~
12        	2     	9       	ID                   	sss
13        	2     	12      	ASSIGN               	<-
14        	2     	14      	STRING_LIT           	"Hola"
15        	2     	20      	EXCLAMATION          	!
16        	3     	2       	INT                  	int
2         	3     	5       	SEPARATOR            	~
17        	3     	6       	ID                   	numero
13        	3     	13      	ASSIGN               	<-
18        	3     	15      	INT_LIT              	20
19        	3     	18      	PLUS                 	+
20        	3     	20      	INT_LIT              	21
15        	3     	22      	EXCLAMATION          	!
16        	3     	24      	INT                  	int
2         	3     	27      	SEPARATOR            	~
21        	3     	28      	ID                   	g
15        	3     	29      	EXCLAMATION          	!
5         	3     	31      	CHAR                 	char
2         	3     	35      	SEPARATOR            	~
22        	3     	36      	ID                   	letra
13        	3     	41      	ASSIGN               	<-
23        	3     	43      	CHAR_LIT             	'a'
15        	3     	46      	EXCLAMATION          	!
1         	3     	48      	FLOAT                	float
2         	3     	53      	SEPARATOR            	~
24        	3     	54      	ID                   	h
15        	3     	55      	EXCLAMATION          	!
21        	4     	2       	ID                   	g
13        	4     	4       	ASSIGN               	<-
25        	4     	7       	INCREMENT            	++
17        	4     	9       	ID                   	numero
26        	4     	16      	TIMES                	*
4         	4     	18      	LPAR                 	<|
27        	4     	20      	INT_LIT              	10
19        	4     	23      	PLUS                 	+
28        	4     	25      	INT_LIT              	24
9         	4     	27      	RPAR                 	|>
26        	4     	30      	TIMES                	*
29        	4     	32      	INT_LIT              	44
30        	4     	35      	POWER                	^
31        	4     	37      	INT_LIT              	88
32        	4     	40      	MOD                  	%
33        	4     	42      	DECREMENT            	--
17        	4     	44      	ID                   	numero
15        	4     	50      	EXCLAMATION          	!
24        	5     	2       	ID                   	h
13        	5     	4       	ASSIGN               	<-
34        	5     	7       	FLOAT_LIT            	4.4
26        	5     	11      	TIMES                	*
3         	5     	13      	ID                   	func1
4         	5     	19      	LPAR                 	<|
22        	5     	21      	ID                   	letra
7         	5     	26      	COMMA                	,
