ID_LEXEMA 	LiNEA 	COLUMNA 	TOKEN                	LEXEMA
-------------------------------------------------------------------------------
1         	2     	5       	FLOAT                	float
2         	2     	10      	SEPARATOR            	~
3         	2     	11      	ID                   	func1
4         	2     	17      	LPAR                 	<|
5         	2     	20      	CHAR                 	char
2         	2     	24      	SEPARATOR            	~
6         	2     	25      	ID                   	x22
7         	2     	28      	COMMA                	,
5         	2     	29      	CHAR                 	char
2         	2     	33      	SEPARATOR            	~
8         	2     	34      	ID                   	x24
9         	2     	38      	RPAR                 	|>
10        	2     	42      	LBLOCK               	|:
11        	3     	2       	STRING               	string
2         	3     	8       	SEPARATOR            	~
12        	3     	9       	ID                   	sss
13        	3     	12      	ASSIGN               	<-
14        	3     	14      	STRING_LIT           	"Hola"
15        	3     	20      	EXCLAMATION          	!
16        	4     	2       	INT                  	int
2         	4     	5       	SEPARATOR            	~
17        	4     	6       	ID                   	numero
15        	4     	12      	EXCLAMATION          	!
16        	4     	14      	INT                  	int
2         	4     	17      	SEPARATOR            	~
18        	4     	18      	ID                   	g
15        	4     	19      	EXCLAMATION          	!
5         	4     	21      	CHAR                 	char
2         	4     	25      	SEPARATOR            	~
19        	4     	26      	ID                   	letra
15        	4     	31      	EXCLAMATION          	!
1         	4     	33      	FLOAT                	float
2         	4     	38      	SEPARATOR            	~
20        	4     	39      	ID                   	f
15        	4     	40      	EXCLAMATION          	!
17        	4     	42      	ID                   	numero
13        	4     	49      	ASSIGN               	<-
21        	4     	52      	INT_LIT              	20
22        	4     	55      	PLUS                 	+
23        	4     	57      	INT_LIT              	21
15        	4     	59      	EXCLAMATION          	!
18        	5     	2       	ID                   	g
13        	5     	4       	ASSIGN               	<-
17        	5     	7       	ID                   	numero
22        	5     	14      	PLUS                 	+
24        	5     	16      	INT_LIT              	10
15        	5     	18      	EXCLAMATION          	!
17        	6     	2       	ID                   	numero
13        	6     	9       	ASSIGN               	<-
24        	6     	12      	INT_LIT              	10
25        	6     	15      	TIMES                	*
18        	6     	17      	ID                   	g
26        	6     	19      	DIVIDE               	/
18        	6     	21      	ID                   	g
15        	6     	22      	EXCLAMATION          	!
17        	7     	2       	ID                   	numero
13        	7     	9       	ASSIGN               	<-
27        	7     	12      	MINUS                	-
28        	7     	14      	INT_LIT              	77
15        	7     	16      	EXCLAMATION          	!
19        	8     	2       	ID                   	letra
13        	8     	8       	ASSIGN               	<-
8         	8     	11      	ID                   	x24
15        	8     	14      	EXCLAMATION          	!
19        	9     	2       	ID                   	letra
13        	9     	8       	ASSIGN               	<-
29        	9     	11      	CHAR_LIT             	'b'
15        	9     	14      	EXCLAMATION          	!
30        	10    	2       	COUT                 	cout
2         	10    	6       	SEPARATOR            	~
4         	10    	8       	LPAR                 	<|
17        	10    	11      	ID                   	numero
9         	10    	18      	RPAR                 	|>
15        	10    	21      	EXCLAMATION          	!
30        	11    	2       	COUT                 	cout
2         	11    	7       	SEPARATOR            	~
4         	11    	8       	LPAR                 	<|
12        	11    	11      	ID                   	sss
9         	11    	15      	RPAR                 	|>
15        	11    	18      	EXCLAMATION          	!
31        	12    	2       	CIN                  	cin
2         	12    	6       	SEPARATOR            	~
4         	12    	7       	LPAR                 	<|
20        	12    	10      	ID                   	f
9         	12    	12      	RPAR                 	|>
15        	12    	15      	EXCLAMATION          	!
16        	13    	2       	INT                  	int
2         	13    	5       	SEPARATOR            	~
32        	13    	6       	ID                   	numS
13        	13    	11      	ASSIGN               	<-
17        	13    	14      	ID                   	numero
27        	13    	21      	MINUS                	-
33        	13    	23      	INT_LIT              	1
25        	13    	25      	TIMES                	*
17        	13    	27      	ID                   	numero
22        	13    	34      	PLUS                 	+
17        	13    	36      	ID                   	numero
15        	13    	43      	EXCLAMATION          	!
30        	14    	2       	COUT                 	cout
2         	14    	6       	SEPARATOR            	~
4         	14    	8       	LPAR                 	<|
32        	14    	11      	ID                   	numS
9         	14    	16      	RPAR                 	|>
15        	14    	19      	EXCLAMATION          	!
1         	16    	2       	FLOAT                	float
2         	16    	7       	SEPARATOR            	~
34        	16    	8       	ID                   	ff
13        	16    	11      	ASSIGN               	<-
27        	16    	13      	MINUS                	-
35        	16    	14      	FLOAT_LIT            	0.01
15        	16    	18      	EXCLAMATION          	!
5         	17    	2       	CHAR                 	char
2         	17    	6       	SEPARATOR            	~
36        	17    	7       	ID                   	x23
13        	17    	10      	ASSIGN               	<-
37        	17    	12      	CHAR_LIT             	'a'
15        	17    	15      	EXCLAMATION          	!
5         	18    	2       	CHAR                 	char
2         	18    	6       	SEPARATOR            	~
38        	18    	7       	ID                   	_miChar_
13        	18    	15      	ASSIGN               	<-
39        	18    	17      	CHAR_LIT             	'!'
15        	18    	21      	EXCLAMATION          	!
