ID_LEXEMA 	LiNEA 	COLUMNA 	TOKEN                	LEXEMA
-------------------------------------------------------------------------------
1         	1     	1       	INT                  	int
2         	1     	4       	SEPARATOR            	~
3         	1     	5       	ID                   	suma
4         	1     	9       	LPAR                 	<|
1         	1     	11      	INT                  	int
2         	1     	14      	SEPARATOR            	~
5         	1     	15      	ID                   	x
6         	1     	16      	COMMA                	,
1         	1     	18      	INT                  	int
2         	1     	21      	SEPARATOR            	~
7         	1     	22      	ID                   	y
8         	1     	23      	RPAR                 	|>
9         	1     	25      	LBLOCK               	|:
10        	2     	5       	RETURN               	return
2         	2     	11      	SEPARATOR            	~
5         	2     	12      	ID                   	x
11        	2     	14      	PLUS                 	+
7         	2     	16      	ID                   	y
12        	2     	17      	EXCLAMATION          	!
13        	3     	1       	RBLOCK               	:|
1         	5     	1       	INT                  	int
2         	5     	4       	SEPARATOR            	~
14        	5     	5       	ID                   	factorial
4         	5     	14      	LPAR                 	<|
1         	5     	16      	INT                  	int
2         	5     	19      	SEPARATOR            	~
15        	5     	20      	ID                   	n
8         	5     	21      	RPAR                 	|>
9         	5     	23      	LBLOCK               	|:
1         	6     	5       	INT                  	int
2         	6     	8       	SEPARATOR            	~
16        	6     	9       	ID                   	resultado
12        	6     	18      	EXCLAMATION          	!
1         	7     	5       	INT                  	int
2         	7     	8       	SEPARATOR            	~
17        	7     	9       	ID                   	i
12        	7     	10      	EXCLAMATION          	!
16        	8     	5       	ID                   	resultado
18        	8     	14      	ASSIGN               	<-
19        	8     	17      	INT_LIT              	1
12        	8     	18      	EXCLAMATION          	!
17        	9     	5       	ID                   	i
18        	9     	6       	ASSIGN               	<-
19        	9     	9       	INT_LIT              	1
12        	9     	10      	EXCLAMATION          	!
20        	10    	5       	DO                   	do
2         	10    	7       	SEPARATOR            	~
9         	10    	8       	LBLOCK               	|:
16        	11    	9       	ID                   	resultado
18        	11    	18      	ASSIGN               	<-
16        	11    	21      	ID                   	resultado
21        	11    	31      	TIMES                	*
17        	11    	33      	ID                   	i
12        	11    	34      	EXCLAMATION          	!
17        	12    	9       	ID                   	i
18        	12    	10      	ASSIGN               	<-
17        	12    	13      	ID                   	i
11        	12    	15      	PLUS                 	+
19        	12    	17      	INT_LIT              	1
12        	12    	18      	EXCLAMATION          	!
13        	13    	5       	RBLOCK               	:|
22        	13    	7       	WHILE                	while
2         	13    	12      	SEPARATOR            	~
4         	13    	13      	LPAR                 	<|
23        	13    	15      	LESS_TE              	less_te
4         	13    	22      	LPAR                 	<|
17        	13    	24      	ID                   	i
6         	13    	25      	COMMA                	,
15        	13    	27      	ID                   	n
